Country,Refugee,Asylum,Total
Afghanistan,60,47,107
Albania,146,96,242
Algeria,328,258,586
Angola,432,347,779
Antigua and Barbuda,1,2,3
Argentina,1117,915,2032
Armenia,154,111,265
Aruba,1,7,8
Australia,2300,1731,4031
Austria,1562,1026,2588
Azerbaijan,188,172,360
Bahamas,28,19,47
Bahrain,28,44,72
Bangladesh,137,47,184
Barbados,1,1,2
Belarus,223,240,463
Belgium,1840,1224,3064
Belize,109,57,166
Benin,472,290,762
Bhutan,1,,1
Bolivia (Plurinational State of),258,88,346
Bonaire,,1,1
Bosnia and Herzegovina,143,217,360
Botswana,410,168,578
Brazil,1225,835,2060
British Virgin Islands,3,2,5
Brunei Darussalam,2,2,4
Bulgaria,876,772,1648
Burkina Faso,355,305,660
Burundi,203,118,321
Cabo Verde,4,2,6
Cambodia,175,103,278
Cameroon,385,317,702
Canada,3751,2732,6483
Cayman Islands,11,11,22
Central African Rep.,416,216,632
Chad,235,178,413
Chile,497,224,721
China,282,208,490
"China, Hong Kong SAR",362,571,933
"China, Macao SAR",30,22,52
CíÇte d'Ivoire,628,408,1036
Colombia,515,183,698
Comoros,9,,9
Congo,280,254,534
Costa Rica,513,295,808
Croatia,151,262,413
Cuba,304,83,387
Curaí_ao,15,16,31
Cyprus,636,829,1465
Czech Rep.,883,774,1657
Dem. People's Rep. of Korea,1,1,2
Dem. Rep. of the Congo,374,228,602
Denmark,2052,1094,3146
Djibouti,173,105,278
Dominican Rep.,80,31,111
Ecuador,963,694,1657
Egypt,764,650,1414
El Salvador,88,36,124
Equatorial Guinea,1,,1
Eritrea,68,45,113
Estonia,142,128,270
Ethiopia,392,208,600
Fiji,26,26,52
Finland,1338,778,2116
France,2205,921,3126
French Guiana,6,,6
Gabon,457,330,787
Gambia,207,69,276
Georgia,131,131,262
Germany,2361,1972,4333
Ghana,359,332,691
Greece,1050,935,1985
Grenada,1,2,3
Guatemala,269,70,339
Guinea,346,178,524
Guinea-Bissau,172,181,353
Guyana,11,3,14
Haiti,6,15,21
Honduras,129,35,164
Hungary,1066,864,1930
Iceland,420,323,743
India,471,287,758
Indonesia,337,398,735
Iran (Islamic Rep. of),134,87,221
Iraq,195,138,333
Ireland,1583,1182,2765
Israel,286,527,813
Italy,2665,845,3510
Jamaica,60,6,66
Japan,377,498,875
Jordan,365,415,780
Kazakhstan,197,96,293
Kenya,488,318,806
Kuwait,172,216,388
Kyrgyzstan,106,140,246
Lao People's Dem. Rep.,13,,13
Latvia,207,179,386
Lebanon,500,360,860
Lesotho,66,15,81
Liberia,330,121,451
Libya,302,263,565
Liechtenstein,99,151,250
Lithuania,310,238,548
Luxembourg,174,269,443
Madagascar,34,5,39
Malawi,172,138,310
Malaysia,612,595,1207
Mali,329,245,574
Malta,509,406,915
Mauritania,259,213,472
Mauritius,2,,2
Mexico,985,500,1485
Micronesia (Federated States of),6,2,8
Monaco,5,3,8
Mongolia,12,18,30
Montenegro,53,73,126
Montserrat,,3,3
Morocco,628,488,1116
Mozambique,270,314,584
Myanmar,4,4,8
Namibia,232,253,485
Nauru,23,38,61
Nepal,228,123,351
Netherlands,2797,1775,4572
New Zealand,1204,680,1884
Nicaragua,208,75,283
Niger,295,184,479
Nigeria,545,254,799
Norway,1856,1047,2903
Oman,19,64,83
Pakistan,360,390,750
Palau,4,5,9
Panama,570,300,870
Papua New Guinea,111,76,187
Paraguay,186,60,246
Peru,590,295,885
Philippines,396,286,682
Poland,950,691,1641
Portugal,779,325,1104
Qatar,51,93,144
Rep. of Korea,373,514,887
Rep. of Moldova,297,353,650
Romania,787,543,1330
Russian Federation,535,425,960
Rwanda,189,112,301
Saint Kitts and Nevis,,3,3
Saint Lucia,5,9,14
Saint Vincent and the Grenadines,,2,2
Saudi Arabia,202,191,393
Senegal,508,484,992
Serbia and Kosovo (S/RES/1244 (1999)),293,216,509
Sierra Leone,141,80,221
Singapore,59,23,82
Sint Maarten (Dutch part),6,5,11
Slovakia,514,526,1040
Slovenia,281,359,640
Solomon Islands,4,2,6
Somalia,164,108,272
South Africa,685,793,1478
South Sudan,27,39,66
Spain,1839,718,2557
Sri Lanka,115,84,199
State of Palestine,,,0
Sudan,307,205,512
Suriname,8,9,17
Swaziland,358,160,518
Sweden,3166,1704,4870
Switzerland,2117,1735,3852
Syrian Arab Rep.,567,601,1168
Tajikistan,76,51,127
Thailand,537,498,1035
The former Yugoslav Republic of Macedonia,85,159,244
Timor-Leste,14,40,54
Togo,307,217,524
Tonga,6,7,13
Trinidad and Tobago,91,136,227
Tunisia,353,170,523
Turkey,694,726,1420
Turkmenistan,101,30,131
Turks and Caicos Islands,2,6,8
Uganda,423,267,690
Ukraine,957,815,1772
United Arab Emirates,257,145,402
United Kingdom,2427,1175,3602
United Rep. of Tanzania,289,113,402
United States of America,3828,2790,6618
Uruguay,414,133,547
Uzbekistan,108,65,173
Vanuatu,10,9,19
Venezuela (Bolivarian Republic of),482,362,844
Viet Nam,41,2,43
Yemen,349,280,629
Zambia,421,147,568
Zimbabwe,454,139,593